_id,photo,role,active,validated,name,email,password,sex,phone,__v
613a5e904506b1fba32b2844,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,admin,true,true,almighty,godly@gmail.com,$2a$12$9T8M/8bYI3SwF7R01sxrIOjrUuQH9Kxz.yQ4RU8amPJ7AWIIteLGe,male,9599420570,0
6145ca194124213b037f180d,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,gabbar,shubham@gmail.com,$2a$12$Lb629d9JSiRxKhv6p89yJubbKxLocs3dTt6rWyWFBVeuy8qA45qp6,other,9560697990,0
6145ea8363b7b65353dfcba5,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,false,nibbanibbi,bakbak@mailsac.com,$2a$12$jfHX2Wxj9H7caUgbHvbidO9KfTEu4ZgaRaOTVhQiDidw.n0mgg972,other,8989898969,0
614971e17be86b9d2f4c57bb,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,mukesh,mukesh@mailsac.com,$2a$12$Wa2pqheIs1cPk35sz.LKV.TryXieGmMnGEv3xp1zEPJpq4wp6Xa5S,male,8989898969,0
614972c57be86b9d2f4c57bc,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,ramesh,ramesh@mailsac.com,$2a$12$IZQBWNOP7EFEhh97aZITSOKuT6Duv8Ddj0C002f52.yps8L0AMbEa,male,8989898969,0
614973227be86b9d2f4c57bd,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,suresh,suresh@mailsac.com,$2a$12$WjL/rTHm1pfV2LlOUiIMruTOkJ0Wpr.QsxJefcC4yszF0KHdkOGlC,male,8989898969,0
614973a17be86b9d2f4c57be,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,abhilaksh,abhi@mailsac.com,$2a$12$YNxU.36WJdmXhTPGSuBV1.emZZbyw9hOojSwR6Y7vqCbfuLktiqpC,male,8989898969,0
614973e47be86b9d2f4c57bf,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,pranjal,microsoft@mailsac.com,$2a$12$OPg7QWP6LD0vGAu.Ixni9uZi6WdYX4.qy.KGPQrn9AjQ5DIZsCnCW,male,8989898969,0
6149746b7be86b9d2f4c57c0,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,rolling,stones@mailsac.com,$2a$12$4VKERUps15Qrciqg.H8fdO1AwNKkpjMNtO.44ErBU5szO79CzQIoK,male,8989898969,0
614974937be86b9d2f4c57c1,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,anmol,anmol@mailsac.com,$2a$12$sr.Qw.kuUknHBk1/6Xjg..S0.GABLq.WaTzZ/qtHOwhiCSym2uB0a,male,8989898969,0
614974b67be86b9d2f4c57c2,https://res.cloudinary.com/flyingbing/image/upload/v1631215449/defaultImage_mmxazq.png,user,true,true,freddie,mercury@mailsac.com,$2a$12$x/wA.eruiSENWDrFcBa0Vewfz0mX46MBIfSlayILWaCa1EC8d90tS,male,8989898969,0
